OBJECTID_1,OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
32,90,"140 Centennial Pkwy N, Hamilton, ON L8E, Canada",-79.7609284,90,43.233076,1,3
33,94,"1436 Brock Rd, Dundas, ON L9H 5E4, Canada",-80.0297027,94,43.369438,1,1
34,96,"1447 Upper Ottawa St, Hamilton, ON L8W 3J6, Canada",-79.8410579,96,43.1959785,1,4
35,98,"1475 Upper Ottawa St, Hamilton, ON L8W 3J6, Canada",-79.8413134,98,43.1952188,1,31
36,99,"1483 Main St W, Hamilton, ON L8S 1E1, Canada",-79.9251675,99,43.2574135,1,1
37,101,"1493 Centre Rd, Carlisle, ON L0R 1H2, Canada",-79.9825311,101,43.3950612,1,11
38,103,"15 Lockport Way, Stoney Creek, ON L8E, Canada",-79.6338938,103,43.2181847,1,1
39,104,"15 Mountain Ave S, Stoney Creek, ON L8G 2V6, Canada",-79.7563288,104,43.2157096,1,8
40,108,"155 James St S, Hamilton, ON L8P 3A4, Canada",-79.8708022,108,43.2519693,1,5
41,109,"1568 Main St W, Hamilton, ON L8S 1E2, Canada",-79.9268158,109,43.2576615,1,1
42,111,"16 Cross St, Dundas, ON L9H 2R4, Canada",-79.9536407,111,43.2667539,1,1
43,113,"160 Dundurn St S, Hamilton, ON L8P 4K3, Canada",-79.8901583,113,43.2579465,1,5
44,115,"1605 Main St W, Hamilton, ON L8S 1E6, Canada",-79.9295465,115,43.2568718,1,1
45,117,"165 Barton St E, Hamilton, ON L8L 2W6, Canada",-79.8587185,117,43.2632033,1,1
46,120,"1685 Main St W, Hamilton, ON L8S 1G5, Canada",-79.9342231,120,43.256644,1,7
47,122,"17 King St W, Stoney Creek, ON L8G 1H1, Canada",-79.7603589,122,43.2172706,1,1
48,127,"175 Longwood Rd S, Hamilton, ON L8P 0A1, Canada",-79.900641,127,43.2568062,1,1
49,131,"179 James St S, Hamilton, ON L8P 4V1, Canada",-79.87094,131,43.2514312,1,3
50,134,"180 James St S, Hamilton, ON L8P 4V1, Canada",-79.8717143,134,43.2512422,1,1
